City Name,Country,Date (Unix Time),Longitude,Latitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Kaitangata,NZ,1578326811,169.85,-46.28,51.01,84,100,4.0
Banyuwangi,ID,1578326986,114.37,-8.21,80.28,82,100,5.39
Aklavik,CA,1578326986,-135.01,68.22,-25.6,74,40,4.7
Rikitea,PF,1578326986,-134.97,-23.12,75.67,74,69,13.87
Clocolan,ZA,1578326987,27.57,-28.91,85.62,22,71,5.46
Ushuaia,AR,1578327053,-68.31,-54.81,50.0,71,75,9.17
Alofi,NU,1578326987,-169.92,-19.06,75.2,100,75,1.12
Hermanus,ZA,1578327119,19.24,-34.42,69.01,67,100,1.01
Jamestown,AU,1578327119,138.6,-33.21,66.34,60,0,4.54
Kavaratti,IN,1578327119,72.64,10.57,81.34,71,59,5.14
Punta Arenas,CL,1578327120,-70.91,-53.16,57.0,71,75,20.8
Shancheng,CN,1578327120,117.17,26.9,56.93,89,0,2.86
Muzhi,RU,1578326988,64.7,65.4,8.06,81,6,10.02
Ustyuzhna,RU,1578326988,36.43,58.84,27.1,79,100,8.43
Bethel,US,1578326988,-161.76,60.79,-16.6,68,1,9.17
Vaini,IN,1578326809,74.49,15.34,73.4,73,40,5.03
Rawson,AR,1578326989,-65.11,-43.3,58.62,60,23,23.13
Linjiang,CN,1578326989,126.91,41.81,18.43,97,86,1.36
Georgetown,GY,1578326989,-58.16,6.8,84.2,66,40,9.17
Port Elizabeth,US,1578326803,-74.98,39.31,48.2,49,90,9.17
Samarai,PG,1578326990,150.67,-10.62,74.37,93,100,5.21
Chokurdakh,RU,1578326990,147.9,70.62,-19.84,99,0,2.46
Jacareacanga,BR,1578326990,-57.76,-6.22,87.8,74,75,3.36
Busselton,AU,1578326812,115.35,-33.64,68.0,25,0,12.37
Mataura,NZ,1578326990,168.86,-46.19,48.99,94,88,8.01
Hualmay,PE,1578326990,-77.61,-11.1,78.15,56,38,8.79
Zeerust,ZA,1578326991,26.07,-25.54,89.6,27,20,5.82
Constantine,DZ,1578326725,6.61,36.36,53.6,54,20,2.73
Sabattus,US,1578326991,-70.11,44.12,25.0,67,20,4.7
Kodiak,US,1578326991,-94.76,39.95,34.0,80,1,8.05
Anloga,GH,1578326991,0.9,5.79,87.13,42,16,11.1
Nueve de Julio,AR,1578326991,-68.39,-31.67,77.04,18,27,9.84
Airai,TL,1578326992,125.41,-8.93,69.98,78,100,4.38
Comarapa,BO,1578326992,-64.53,-17.91,77.04,54,97,7.25
The Valley,AI,1578326828,-63.06,18.22,84.2,54,20,11.41
Petropavlovsk-Kamchatskiy,RU,1578326992,158.65,53.05,23.0,73,100,6.71
Hay River,CA,1578326992,-115.79,60.82,-13.0,75,75,12.75
Carnarvon,ZA,1578326823,22.13,-30.97,87.98,11,89,21.03
Marseille,FR,1578326993,5.37,43.3,57.2,71,0,3.36
Sula,UA,1578326993,34.53,50.81,25.21,90,0,4.21
Kilindoni,TZ,1578326993,39.67,-7.91,83.16,77,66,11.54
Butaritari,KI,1578326993,172.79,3.07,84.06,80,100,15.66
Hilo,US,1578326933,-155.08,19.71,78.8,61,75,9.31
Ponta do Sol,BR,1578326837,-46.0,-20.63,78.08,73,63,5.48
Barrow,AR,1578326994,-60.23,-38.31,69.91,44,0,21.32
Qaanaaq,GL,1578326994,-69.36,77.48,-13.4,55,88,5.82
Kapaa,US,1578326802,-159.32,22.08,75.2,83,75,19.46
Bredasdorp,ZA,1578326994,20.04,-34.53,69.8,52,100,8.05
Nikolskoye,RU,1578326994,30.79,59.7,33.8,86,90,8.95
Onverwacht,SR,1578326995,-55.2,5.59,88.0,58,75,6.93
Meulaboh,ID,1578326826,96.13,4.14,84.4,70,0,7.14
Bluff,AU,1578326995,149.07,-23.58,75.94,70,96,12.64
Chuy,UY,1578326995,-53.46,-33.69,88.39,39,13,13.27
Anadyr,RU,1578326996,177.51,64.73,-31.0,73,0,6.71
San Vicente,EC,1578326996,-80.41,-0.59,82.4,74,40,4.7
Kupang,ID,1578326996,123.6,-10.16,80.6,88,20,5.82
Yellowknife,CA,1578326742,-114.38,62.45,-27.4,67,20,5.82
Hambantota,LK,1578326996,81.12,6.12,77.0,100,95,5.82
New Norfolk,AU,1578326817,147.06,-42.78,59.0,82,100,5.82
Elverum,NO,1578326996,11.56,60.88,35.01,97,39,2.1
Clarence Town,AU,1578326996,151.78,-32.59,71.01,94,90,1.57
Hasaki,JP,1578326971,140.83,35.73,41.0,60,75,9.17
Port Alfred,ZA,1578327040,26.89,-33.59,71.01,93,90,3.0
Aripuana,BR,1578326997,-60.63,-9.17,82.44,87,76,2.39
Saldanha,PT,1578326997,-6.55,41.42,47.71,60,100,3.2
East Stroudsburg,US,1578326997,-75.18,41.0,41.0,69,20,19.46
Chapeco,BR,1578326998,-52.62,-27.1,88.0,52,40,11.41
Norman Wells,CA,1578326998,-126.83,65.28,-41.8,72,20,2.24
La Ronge,CA,1578326998,-105.3,55.1,15.8,78,90,26.4
Arraial do Cabo,BR,1578326998,-42.02,-22.97,89.6,74,40,13.87
Tirumullaivasal,IN,1578326998,79.84,11.24,81.07,79,9,16.62
Tiksi,RU,1578326999,128.87,71.64,-8.79,85,83,6.4
Pringsewu,ID,1578326999,104.98,-5.36,72.81,94,94,1.43
Tahoua,NE,1578326999,5.26,14.89,80.6,12,22,9.17
Soyo,AO,1578326999,12.37,-6.13,86.04,66,43,10.92
Saint George,GR,1578326703,22.34,39.45,46.0,39,40,12.75
East London,ZA,1578326831,27.91,-33.02,75.2,73,40,10.29
Tautira,PF,1578327001,-149.15,-17.73,77.0,88,27,4.7
Waipawa,NZ,1578327001,176.59,-39.94,52.0,74,41,14.0
Pangnirtung,CA,1578327002,-65.72,66.15,-25.6,54,90,5.82
Vardo,US,1578327003,-77.74,39.62,48.99,45,75,14.99
Eenhana,NA,1578327003,16.34,-17.48,76.98,64,99,8.95
Castro,CL,1578327005,-73.76,-42.48,55.4,76,75,8.05
Puerto Ayora,EC,1578327005,-90.35,-0.74,82.4,65,40,12.75
Atuona,PF,1578327005,-139.03,-9.8,79.66,73,91,14.81
Albany,US,1578327005,-73.75,42.65,33.8,74,90,9.17
Port Augusta,AU,1578326812,137.76,-32.49,66.2,77,5,8.05
Moose Jaw,CA,1578327006,-105.54,50.4,26.01,79,90,14.99
Gazli,UZ,1578327006,63.45,40.13,32.99,50,3,5.68
Bawal,IN,1578327006,76.58,28.07,53.98,71,66,7.09
Altoona,US,1578326900,-78.39,40.52,42.8,48,75,17.22
Tuktoyaktuk,CA,1578327007,-133.03,69.44,-22.0,74,40,8.05
Sao Filipe,CV,1578327007,-24.5,14.9,73.22,57,31,24.11
Avarua,CK,1578326969,-159.78,-21.21,77.0,94,29,1.12
Comodoro Rivadavia,AR,1578327007,-67.48,-45.87,64.4,52,40,5.82
Kieta,PG,1578327008,155.63,-6.22,82.09,79,23,6.24
Iqaluit,CA,1578327008,-68.52,63.75,-13.0,62,75,9.17
Hofn,IS,1578327008,-15.21,64.25,41.0,80,75,17.22
Honiara,SB,1578327008,159.96,-9.43,78.8,94,40,4.7
Khatanga,RU,1578326851,102.47,71.98,7.81,86,88,13.33
Talnakh,RU,1578327009,88.39,69.49,8.6,84,40,22.37
Sitka,US,1578327009,-99.65,37.17,32.0,72,0,5.99
Taihe,CN,1578327009,114.92,26.8,66.52,71,0,8.39
Itacarambi,BR,1578327009,-44.09,-15.1,85.64,63,99,2.89
Bathsheba,BB,1578327009,-59.52,13.22,86.0,62,75,17.22
Kosh-Agach,RU,1578327010,88.66,49.99,-12.35,92,0,0.76
Geraldton,CA,1578326818,-86.95,49.72,8.6,71,90,9.17
Filingue,NE,1578327010,3.32,14.35,85.84,14,0,8.84
Oyem,GA,1578327010,11.57,1.6,87.8,52,20,2.75
Deputatskiy,RU,1578326886,139.9,69.3,-17.21,77,63,0.76
Atar,MR,1578327010,-13.05,20.52,77.0,14,68,18.34
Ewa Beach,US,1578326759,-158.01,21.32,77.0,73,75,5.82
Dalbandin,PK,1578327011,64.41,28.9,52.81,85,26,3.2
Puerto Escondido,MX,1578327011,-97.07,15.86,82.4,88,5,6.93
Novouzensk,RU,1578327011,48.14,50.46,32.04,98,100,7.56
Dikson,RU,1578326806,80.55,73.51,15.06,94,100,14.38
Cidreira,BR,1578327011,-50.22,-30.17,75.13,84,0,14.85
Coihaique,CL,1578327011,-72.07,-45.58,55.4,62,90,5.82
Sola,TZ,1578327011,33.8,-3.17,71.89,79,86,7.81
Khani,GE,1578327012,42.96,41.96,51.8,40,56,20.8
Noumea,NC,1578326879,166.46,-22.28,79.0,88,1,2.24
Klaksvik,FO,1578327012,-6.59,62.23,46.4,70,100,17.22
Tomatlan,MX,1578327012,-105.25,19.93,66.25,48,18,3.51
Palu,ID,1578327013,119.87,-0.9,68.25,98,100,0.47
Dawson Creek,CA,1578327013,-120.23,55.76,-7.6,75,1,2.24
Leningradskiy,RU,1578327013,178.42,69.38,-7.8,73,0,6.6
Doha,QA,1578326989,51.53,25.29,66.2,48,0,10.29
Oranjestad,AW,1578326866,-70.03,12.52,80.6,74,75,13.87
Lagoa,PT,1578326967,-8.45,37.14,64.99,59,0,9.17
Hobart,AU,1578326822,147.33,-42.88,59.0,82,100,5.82
Lebu,ET,1578327014,38.73,8.96,62.6,59,20,13.87
Praia da Vitoria,PT,1578327014,-27.07,38.73,66.2,72,20,20.49
Shu,KZ,1578327014,73.76,43.6,27.0,92,99,5.01
Saint-Philippe,CA,1578326859,-73.48,45.36,23.0,78,90,10.29
Cape Town,ZA,1578327015,18.42,-33.93,71.01,56,100,24.16
Saint Albans,US,1578327015,-73.08,44.81,27.0,85,90,7.0
Saraza,PH,1578327015,117.78,8.74,80.71,83,0,16.42
Along,IN,1578327015,94.8,28.17,47.19,93,0,3.24
Bilibino,RU,1578327015,166.44,68.06,-15.47,78,0,2.53
Luderitz,NA,1578327016,15.16,-26.65,75.2,64,57,28.86
Turayf,SA,1578327016,38.65,31.68,53.6,32,0,11.41
Novikovo,RU,1578327016,37.89,51.15,23.94,94,10,6.04
Houma,CN,1578327016,111.36,35.63,34.36,96,100,3.36
Trairi,BR,1578327016,-39.27,-3.28,87.75,56,52,7.07
Arona,IT,1578327016,8.56,45.76,44.01,80,0,3.36
Thompson,CA,1578326912,-97.86,55.74,-4.0,83,90,0.72
Beidao,CN,1578327017,105.89,34.57,28.74,74,100,1.52
Torbay,CA,1578327017,-52.73,47.66,30.2,86,90,24.16
College,US,1578327017,-147.8,64.86,-17.0,58,90,1.97
Cabo San Lucas,MX,1578326901,-109.91,22.89,71.01,59,40,5.82
Sorong,ID,1578327018,131.25,-0.86,75.13,95,100,2.51
Luoyang,CN,1578327018,112.42,34.66,34.72,98,100,2.51
Kathmandu,NP,1578326767,85.32,27.71,46.4,87,20,3.36
Tasiilaq,GL,1578327018,-37.64,65.61,17.94,84,97,36.62
Muyezerskiy,RU,1578327018,31.65,63.93,29.79,92,100,10.02
Pevek,RU,1578326814,170.27,69.7,-8.97,79,0,4.88
Thohoyandou,ZA,1578327019,30.46,-22.97,93.13,27,0,11.01
Sioux Lookout,CA,1578327002,-91.92,50.1,6.8,84,20,6.93
Bonthe,SL,1578327019,-12.5,7.53,85.89,49,0,12.19
Alugan,PH,1578327020,125.48,12.22,79.11,84,34,13.44
Kruisfontein,ZA,1578327020,24.73,-34.0,65.82,84,100,8.77
Gamba,CN,1578327020,88.52,28.28,17.04,27,100,3.09
Barranca,PE,1578327020,-77.76,-10.75,69.75,90,1,14.9
Half Moon Bay,US,1578326891,-122.43,37.46,46.99,86,1,5.1
Lorengau,PG,1578327021,147.27,-2.02,84.36,76,11,11.1
Baltay,RU,1578327021,46.63,52.47,25.97,97,100,3.24
Brae,GB,1578326891,-1.35,60.4,48.2,87,100,27.51
Saint-Georges,CA,1578326906,-70.67,46.12,16.0,78,100,2.26
Calvinia,ZA,1578327021,19.78,-31.47,76.82,33,100,14.41
Aquiraz,BR,1578327021,-38.39,-3.9,86.0,66,40,11.41
Cockburn Town,TC,1578326850,-71.14,21.46,73.4,88,75,5.82
Husavik,CA,1578327022,-96.99,50.56,16.0,95,13,5.99
Itarema,BR,1578327022,-39.92,-2.92,90.5,50,51,12.66
La Macarena,CO,1578327022,-73.79,2.18,85.87,47,80,9.37
Palmer,AU,1578326821,139.16,-34.85,69.01,48,0,8.05
Tarazona,ES,1578327023,-1.72,41.91,53.01,93,90,3.36
Bajil,ES,1578327023,-2.07,38.23,54.23,27,0,3.62
Candolim,IN,1578327023,73.76,15.52,80.6,83,36,5.82
Mar del Plata,AR,1578327024,-67.52,-46.43,65.91,33,47,9.55
Sambava,MG,1578327024,50.17,-14.27,76.12,96,100,1.59
Castanos,MX,1578327024,-101.42,26.78,60.8,38,5,5.82
Kahului,US,1578327024,-156.47,20.89,73.4,69,1,9.17
Sisophon,KH,1578327024,102.97,13.59,76.41,52,0,0.83
Bambous Virieux,MU,1578327024,57.76,-20.34,82.4,83,40,2.24
Faanui,PF,1578327025,-151.75,-16.48,81.09,80,6,13.58
Chunskiy,RU,1578327025,99.63,56.08,24.42,95,100,4.27
Sassandra,CI,1578327025,-6.09,4.95,85.55,40,5,9.01
Nyuksenitsa,RU,1578327025,44.24,60.41,9.01,92,91,5.59
Makinsk,KZ,1578327025,70.42,52.63,11.77,96,61,3.15
Yurimaguas,PE,1578327026,-76.1,-5.9,48.2,100,40,8.05
Kenmare,IE,1578327026,-9.58,51.88,50.0,81,40,14.99
Charters Towers,AU,1578327026,146.27,-20.07,72.64,92,44,8.77
Methoni,GR,1578327026,21.7,36.82,50.0,36,75,2.24
Taltal,CL,1578327026,-70.49,-25.41,65.55,72,76,6.64
Katsuura,JP,1578327026,134.5,33.93,44.6,70,75,5.82
Olga,US,1578327027,-118.17,34.11,66.2,53,1,3.09
Itaituba,BR,1578327027,-55.99,-4.26,87.8,66,20,17.22
Wewak,PG,1578327027,143.63,-3.55,77.41,91,100,5.88
Vila Velha,BR,1578327027,-38.6,-3.71,86.0,66,40,11.41
Ayan,IR,1578327028,44.7,38.23,14.58,80,0,6.26
Verkhnevilyuysk,RU,1578327028,120.31,63.45,11.73,94,100,7.09
Lompoc,US,1578327028,-120.46,34.64,57.2,86,1,10.92
Victoria,BN,1578326808,115.24,5.28,82.4,78,75,11.41
Adrar,DZ,1578327029,-0.29,27.87,66.2,17,0,19.46
Angoche,MZ,1578327029,39.91,-16.23,82.45,84,100,6.02
Hinche,HT,1578327029,-72.01,19.14,84.2,42,20,6.93
Verkhnechusovskiye Gorodki,RU,1578327029,57.11,58.17,14.5,95,73,3.67
Severo-Kurilsk,RU,1578327029,156.12,50.68,25.79,90,100,32.35
Soligalich,RU,1578327031,42.29,59.08,14.27,96,60,4.54
Port Hardy,CA,1578327031,-127.42,50.7,39.2,86,90,17.22
Dickinson,US,1578326884,-102.79,46.88,30.99,62,1,16.11
Tecoanapa,MX,1578327031,-99.26,16.99,82.4,69,5,3.36
Belaya Gora,RU,1578326894,146.19,68.54,-22.18,95,0,2.28
San Pedro Buenavista,MX,1578327031,-97.11,20.01,65.35,71,54,1.23
Kant,KG,1578327032,74.85,42.89,28.4,86,40,6.71
Port-Gentil,GA,1578327033,8.78,-0.72,86.0,79,40,10.29
Walvis Bay,NA,1578327033,14.51,-22.95,64.99,87,44,1.01
Thinadhoo,MV,1578327033,72.93,0.53,83.59,76,92,14.25
Mariental,BR,1578327033,-49.65,-25.72,84.99,36,75,11.41
Celestun,MX,1578327034,-90.4,20.87,71.13,73,0,9.93
Muros,ES,1578327034,-9.06,42.77,57.0,87,75,4.7
Mahebourg,MU,1578327035,57.7,-20.41,82.4,83,40,2.24
Buala,SB,1578326871,159.59,-8.15,80.71,84,33,7.07
Port Hawkesbury,CA,1578327035,-61.36,45.62,27.0,89,93,10.0
Francistown,BW,1578327036,27.5,-21.17,89.6,33,75,3.36
Wilmington,US,1578326789,-75.55,39.75,46.99,74,90,5.82
Namatanai,PG,1578327036,152.44,-3.66,83.91,77,39,5.53
Rajanpur,PK,1578326874,70.33,29.1,51.49,89,100,10.33
Vila do Maio,CV,1578327037,-23.22,15.13,80.6,42,94,27.51
Talara,PE,1578327037,-81.27,-4.58,62.6,100,0,14.99
Saskylakh,RU,1578326979,114.09,71.97,-5.08,96,100,7.05
Clyde River,CA,1578327037,-68.59,70.47,-31.0,66,75,18.34
Funtua,NG,1578327038,7.31,11.52,84.16,19,0,9.89
Salalah,OM,1578327038,54.1,17.01,78.8,74,75,5.82
Tsaratanana,MG,1578327038,47.65,-16.8,76.21,84,100,2.68
Iquique,CL,1578327038,-70.14,-20.22,77.0,57,0,6.93
Salinopolis,BR,1578327038,-47.36,-0.61,81.37,81,56,15.64
Nemuro,JP,1578327039,145.57,43.32,31.24,77,3,37.63
Broken Hill,AU,1578327039,141.45,-31.97,68.0,60,0,10.29
Hamilton,CA,1578327014,-79.87,43.26,37.0,64,75,20.8
Polunochnoye,RU,1578327040,60.43,60.87,15.28,76,0,10.18
Kresttsy,RU,1578327041,32.52,58.25,28.58,91,100,9.15
Lagos,NG,1578327016,3.39,6.46,93.2,41,25,6.93
Tarakan,ID,1578326824,117.63,3.3,80.31,81,98,5.32
Dustlik,UZ,1578327041,68.03,40.53,38.44,88,100,5.95
Lakes Entrance,AU,1578327041,147.99,-37.88,59.0,95,100,6.87
Gat,SN,1578326837,-16.54,14.69,86.0,10,40,16.11
Tuatapere,NZ,1578327042,167.69,-46.13,48.99,93,100,7.0
Jinka,ET,1578327042,36.57,5.79,72.84,76,0,2.37
Goderich,CA,1578327042,-81.71,43.74,34.0,67,96,1.99
Zlobin,HR,1578327043,14.65,45.29,44.6,28,0,9.17
Fairbanks,US,1578327029,-147.72,64.84,-17.0,58,90,0.31
Hithadhoo,MV,1578327043,73.08,-0.6,83.59,73,100,10.4
Weymouth,US,1578327035,-70.94,42.22,36.0,55,40,4.7
Namibe,AO,1578327044,12.15,-15.19,73.58,85,100,11.23
Kontagora,NG,1578327044,5.47,10.4,98.11,14,50,0.36
Portland,US,1578326708,-70.25,43.66,26.01,58,90,8.05
Balsta,SE,1578327044,17.53,59.57,44.01,100,100,11.41
Wasilla,US,1578326879,-149.44,61.58,-2.0,75,90,12.75
Yulara,AU,1578327045,130.99,-25.24,80.6,47,90,10.29
Kadoma,JP,1578327045,135.6,34.73,46.4,65,53,5.82
Dehui,CN,1578327045,125.71,44.53,24.8,79,90,6.71
Porto Novo,BR,1578327046,-45.44,-23.68,87.8,45,40,4.7
Najran,SA,1578327046,44.22,17.54,68.0,52,75,4.7
